Category	Topic / Chapter	Lecture # in Topic	Lecture Title	Current YouTube URL	Current Playlist URL(s)	MyNotes URL	MyNotes_old URL	JEE Syllabus Unit	JEE Syllabus Unit Name	Syllabus Mapping Confidence	Source Plan Status	Recommended Primary Source	Recommended Source URL	Source Plan Notes	
Inorganic Chemistry	p block elements	28	Nitric Acid	https://youtu.be/xQJOfAKgSOY?t=4357		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	29	Nitric Acid: Preparation	https://youtu.be/xQJOfAKgSOY?t=4401		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	30	Nitric Acid: Properties	https://youtu.be/xQJOfAKgSOY?t=4556		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	31	Nitric Acid: Uses	https://youtu.be/xQJOfAKgSOY?t=4783		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	d and f block elements	1	Introduction	https://youtu.be/w0S7AE3zy30?t=0		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	2	D-block elements	https://youtu.be/w0S7AE3zy30?t=63		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	3	Transition Metals	https://youtu.be/w0S7AE3zy30?t=291		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	4	Why study D-block elements?	https://youtu.be/w0S7AE3zy30?t=404		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	5	Say Hello to “D Block Elements”	https://youtu.be/w0S7AE3zy30?t=437		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	6	D Block Elements: Electronic Configuration	https://youtu.be/w0S7AE3zy30?t=546		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	7	D Block Elements: Trends	https://youtu.be/w0S7AE3zy30?t=674		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	8	Trends : Physical Properties	https://youtu.be/w0S7AE3zy30?t=753		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	9	Trends: Atomic Size	https://youtu.be/w0S7AE3zy30?t=1346		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	10	D Block Elements : Trends : Ionization Enthalpy	https://youtu.be/w0S7AE3zy30?t=1995		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	11	Trends : Oxidation States	https://youtu.be/w0S7AE3zy30?t=2364		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	12	Standard Electrode Potential (M²⁺ / M)	https://youtu.be/w0S7AE3zy30?t=2717		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	13	Standard Electrode Potential (M³⁺ / M²⁺)	https://youtu.be/w0S7AE3zy30?t=3015		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	14	Trends: Stability of Higher Oxidation State: Halides	https://youtu.be/w0S7AE3zy30?t=3241		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	15	Magnetic Properties	https://youtu.be/w0S7AE3zy30?t=3380		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	16	Formation of Coloured Ions	https://youtu.be/w0S7AE3zy30?t=3518		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	17	Formation of Complex Compounds	https://youtu.be/w0S7AE3zy30?t=3887		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	18	Catalytic Properties	https://youtu.be/w0S7AE3zy30?t=4020		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	19	Formation of Interstitial Compounds	https://youtu.be/w0S7AE3zy30?t=4233		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	20	Alloys	https://youtu.be/w0S7AE3zy30?t=4320		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	21	Alloys: Examples	https://youtu.be/w0S7AE3zy30?t=4484		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	22	Potassium Permanganate (KMnO₄)	https://youtu.be/w0S7AE3zy30?t=4740		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	23	Physical Properties : KMnO₄	https://youtu.be/w0S7AE3zy30?t=6161		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	24	Chemical Properties : KMnO₄	https://youtu.be/w0S7AE3zy30?t=6535		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	25	Reactions in Acidic Medium : KMnO₄	https://youtu.be/w0S7AE3zy30?t=6942		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	26	Reactions in Faintly Alkaline Medium : KMnO₄	https://youtu.be/w0S7AE3zy30?t=7966		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	27	Reactions in Neutral Medium : KMnO₄	https://youtu.be/w0S7AE3zy30?t=8651		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	28	Potassium Dichromate (K₂Cr₂O₇)	https://youtu.be/w0S7AE3zy30?t=8751		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	29	Chromate – Dichromate Equilibrium	https://youtu.be/w0S7AE3zy30?t=8668		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	30	K₂Cr₂O₇ : Oxidising Reactions	https://youtu.be/w0S7AE3zy30?t=8944		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	31	f-block Elements (Inner Transition Metals)	https://youtu.be/w0S7AE3zy30?t=9358		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	32	Say Hello to Lanthanides!	https://youtu.be/w0S7AE3zy30?t=8972		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	33	Lanthanides: Trends - Electronic Configuration	https://youtu.be/w0S7AE3zy30?t=10352		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	34	Lanthanides: Trends - Atomic Size	https://youtu.be/w0S7AE3zy30?t=10391		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	35	Lanthanides: Trends - Oxidation States	https://youtu.be/w0S7AE3zy30?t=10492		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	36	Lanthanides: Trends - General Characteristics	https://youtu.be/w0S7AE3zy30?t=10423		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	37	F Block: Actinides	https://youtu.be/w0S7AE3zy30?t=10595		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	38	Actinoids: Electronic Configuration	https://youtu.be/w0S7AE3zy30?t=10817		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	39	Actinoids: Atomic Size	https://youtu.be/w0S7AE3zy30?t=10878		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	40	Actinoids: Oxidation States	https://youtu.be/w0S7AE3zy30?t=10933		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	41	General Characteristics	https://youtu.be/w0S7AE3zy30?t=11064		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	d and f block elements	42	d-&f-block elements: Applications	https://youtu.be/w0S7AE3zy30?t=11135		#		Unit 11	d- and f-Block Elements	High	Replace/standardize to JEE Wallah	D&F Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gdHYnioIhFXM5fuOUNIoym	JEE Wallah playlist; search result says 6 lessons / 9 hours. One-shot candidate: https://www.youtube.com/watch?v=SjILQ6cX_Vo	
Inorganic Chemistry	Coordination Compounds	1	Introduction	https://youtu.be/PpuPUMfr91Y?t=0		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	2	Coordination Compounds	https://youtu.be/PpuPUMfr91Y?t=51		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	3	Why study Coordination Compounds?	https://youtu.be/PpuPUMfr91Y?t=145		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	4	Theory on Coordination Compounds	https://youtu.be/PpuPUMfr91Y?t=208		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	5	Alfred Werner	https://youtu.be/PpuPUMfr91Y?t=230		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	6	Werner Theory of Coordination Compounds	https://youtu.be/PpuPUMfr91Y?t=261		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	7	Double Salt Vs. Complex	https://youtu.be/PpuPUMfr91Y?t=1217		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	8	Coordination Compounds: New Terms	https://youtu.be/PpuPUMfr91Y?t=1312		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	9	Coordination Entity	https://youtu.be/PpuPUMfr91Y?t=1390		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	10	Central Atom/Ion	https://youtu.be/PpuPUMfr91Y?t=1461		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	11	Ligands	https://youtu.be/PpuPUMfr91Y?t=1661		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	12	Ligands: Chelate Complexes	https://youtu.be/PpuPUMfr91Y?t=2053		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	13	Ligands: Denticity	https://youtu.be/PpuPUMfr91Y?t=2198		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	14	Coordination Number	https://youtu.be/PpuPUMfr91Y?t=2236		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
Inorganic Chemistry	Coordination Compounds	15	Coordination Sphere	https://youtu.be/PpuPUMfr91Y?t=2417		#		Unit 12	Coordination Compounds	High	Replace/standardize to JEE Wallah	Coordination Chemistry: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gH4UNRgnJK3rYaY38UlfPj	JEE Wallah playlist; search result confirms playlist. Playlist contents should be enumerated later.	
